UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF,Category
5000,20,9,3,-130,-22.3,-6,-135,-25.3,-5,-150,-28.3,2,12346,555002,555001,555003,2020-10-15 20:28:51.783618,Poor Signal
280000,122000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12346,555002,555001,555003,2020-10-15 20:28:51.793618,Excellent Signal
300000,125000,25,10,-47,-3.3,24,-52,-6.3,19,-67,-9.3,16,12346,555002,555001,555003,2020-10-15 20:28:51.853618,Excellent Signal
280000,123000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12346,555002,555001,555003,2020-10-15 20:28:51.903618,Excellent Signal
5000,3000,10,4,-123,-24.7,-1,-128,-27.7,-3,-143,-30.7,-7,12346,555002,555001,555003,2020-10-15 20:28:51.993618,Poor Signal
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12346,555002,555001,555003,2020-10-15 20:28:52.023618,Excellent Signal
230000,108722,20,10,-91,-13.4,4,-96,-16.4,-1,-111,-19.4,-4,12346,555002,555001,555003,2020-10-15 20:28:52.043618,Good Signal
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12346,555002,555001,555003,2020-10-15 20:28:52.103618,Excellent Signal
280000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12346,555002,555001,555003,2020-10-15 20:28:52.233618,Excellent Signal
10000,6000,14,6,-119,-22.7,-5,-124,-25.7,-4,-139,-28.7,-14,12346,555002,555001,555003,2020-10-15 20:28:52.243618,Poor Signal
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12346,555002,555001,555003,2020-10-15 20:28:52.293618,Excellent Signal
280000,123000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12346,555002,555001,555003,2020-10-15 20:28:52.373618,Excellent Signal
280000,121000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12346,555002,555001,555003,2020-10-15 20:28:52.393618,Excellent Signal
300000,121000,25,10,-91,-13.5,3,-96,-16.5,-2,-111,-19.5,-5,12346,555002,555001,555003,2020-10-15 20:28:52.533618,Good Signal
290000,122000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12346,555002,555001,555003,2020-10-15 20:28:52.603618,Excellent Signal
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12346,555002,555001,555003,2020-10-15 20:28:52.813618,Excellent Signal
