UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF
300000,123000,25,10,-89,-13.1,7,-94,-16.1,2,-109,-19.1,-1,12392,555006,555005,555007,2020-11-05 13:44:03.114550
280000,123000,25,10,-81,-12.5,13,-86,-15.5,8,-101,-18.5,5,12392,555006,555005,555007,2020-11-05 13:44:03.124550
280000,123000,25,10,-86,-12.8,10,-91,-15.8,5,-106,-18.8,2,12392,555006,555005,555007,2020-11-05 13:44:03.214550
280000,123000,25,10,-80,-12.3,15,-85,-15.3,10,-100,-18.3,7,12392,555006,555005,555007,2020-11-05 13:44:03.444550
280000,121000,25,10,-90,-13.4,4,-95,-16.4,-1,-110,-19.4,-4,12392,555006,555005,555007,2020-11-05 13:44:03.464550
280000,122000,25,10,-81,-12.6,12,-86,-15.6,7,-101,-18.6,4,12392,555006,555005,555007,2020-11-05 13:44:03.474550
200000,108722,20,5,-89,-12.5,11,-94,-15.5,6,-109,-18.5,3,12392,555006,555005,555007,2020-11-05 13:44:03.494550
280000,122000,25,10,-88,-12.1,17,-93,-15.1,12,-108,-18.1,9,12392,555006,555005,555007,2020-11-05 13:44:03.514550
110000,108722,20,4,-87,-12.1,11,-92,-15.1,6,-107,-18.1,3,12392,555006,555005,555007,2020-11-05 13:44:03.554550
290000,123000,25,10,-85,-12.4,14,-90,-15.4,9,-105,-18.4,6,12392,555006,555005,555007,2020-11-05 13:44:03.584550
290000,123000,25,10,-82,-12.2,16,-87,-15.2,11,-102,-18.2,8,12392,555006,555005,555007,2020-11-05 13:44:03.594550
230000,108722,20,6,-89,-15.7,16,-94,-18.7,11,-109,-21.7,8,12392,555006,555005,555007,2020-11-05 13:44:03.604550
110000,108722,20,6,-89,-13.8,0,-94,-16.8,-5,-109,-19.8,-8,12392,555006,555005,555007,2020-11-05 13:44:03.624550
