UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF,Category
100000,98722,20,2,-89,-15.7,14,-94,-18.7,9,-109,-21.7,6,12435,555011,555010,555012,2020-10-15 20:28:51.763618,Good Signal
300000,123000,25,10,-49,-3.5,23,-54,-6.5,18,-69,-9.5,15,12435,555011,555010,555012,2020-10-15 20:28:51.773618,Excellent Signal
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12435,555011,555010,555012,2020-10-15 20:28:51.813618,Excellent Signal
280000,122000,25,8,-90,-13.2,6,-95,-16.2,1,-110,-19.2,-2,12435,555011,555010,555012,2020-10-15 20:28:51.833618,Good Signal
300000,123000,25,10,-48,-3.4,24,-53,-6.4,19,-68,-9.4,16,12435,555011,555010,555012,2020-10-15 20:28:51.843618,Excellent Signal
280000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12435,555011,555010,555012,2020-10-15 20:28:51.873618,Excellent Signal
3000,2000,9,3,-124,-23.9,-21,-129,-26.9,-26,-144,-29.9,-29,12435,555011,555010,555012,2020-10-15 20:28:51.883618,Poor Signal
200000,108722,20,6,-91,-13.2,6,-96,-16.2,1,-111,-19.2,-2,12435,555011,555010,555012,2020-10-15 20:28:51.983618,Good Signal
280000,123000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12435,555011,555010,555012,2020-10-15 20:28:52.053618,Excellent Signal
7000,4000,9,3,-115,-23.9,-19,-120,-26.9,-24,-135,-29.9,-27,12435,555011,555010,555012,2020-10-15 20:28:52.073618,Poor Signal
270000,121000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12435,555011,555010,555012,2020-10-15 20:28:52.103618,Excellent Signal
290000,123000,25,10,-48,-3.4,25,-53,-6.4,20,-68,-9.4,17,12435,555011,555010,555012,2020-10-15 20:28:52.123618,Excellent Signal
9000,5000,14,6,-123,-22.9,-20,-128,-25.9,-25,-143,-28.9,-28,12435,555011,555010,555012,2020-10-15 20:28:52.143618,Poor Signal
9000,4000,14,6,-123,-21.1,-3,-128,-24.1,-8,-143,-27.1,-11,12435,555011,555010,555012,2020-10-15 20:28:52.163618,Poor Signal
