UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF
290000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.034550
280000,122000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.064550
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12367,555004,555003,555005,2020-11-05 13:44:03.094550
280000,123000,25,10,-45,-3.1,24,-50,-6.1,19,-65,-9.1,16,12367,555004,555003,555005,2020-11-05 13:44:03.104550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.134550
280000,123000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12367,555004,555003,555005,2020-11-05 13:44:03.174550
300000,123000,25,10,-47,-3.3,25,-52,-6.3,20,-67,-9.3,17,12367,555004,555003,555005,2020-11-05 13:44:03.204550
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12367,555004,555003,555005,2020-11-05 13:44:03.244550
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12367,555004,555003,555005,2020-11-05 13:44:03.314550
300000,123000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12367,555004,555003,555005,2020-11-05 13:44:03.404550
280000,123000,25,10,-50,-3.6,23,-55,-6.6,18,-70,-9.6,15,12367,555004,555003,555005,2020-11-05 13:44:03.494550
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.614550
300000,125000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12367,555004,555003,555005,2020-11-05 13:44:03.694550
280000,123000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12367,555004,555003,555005,2020-11-05 13:44:03.704550
280000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.744550
280000,123000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12367,555004,555003,555005,2020-11-05 13:44:03.794550
280000,123000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12367,555004,555003,555005,2020-11-05 13:44:03.804550
280000,123000,25,10,-45,-3.1,24,-50,-6.1,19,-65,-9.1,16,12367,555004,555003,555005,2020-11-05 13:44:03.814550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.844550
280000,122000,25,10,-45,-3.1,25,-50,-6.1,20,-65,-9.1,17,12367,555004,555003,555005,2020-11-05 13:44:03.854550
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12367,555004,555003,555005,2020-11-05 13:44:03.864550
300000,123000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12367,555004,555003,555005,2020-11-05 13:44:03.904550
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.954550
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:03.964550
300000,125000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12367,555004,555003,555005,2020-11-05 13:44:04.164550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:04.204550
280000,123000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12367,555004,555003,555005,2020-11-05 13:44:04.254550
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:04.274550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:04.284550
270000,123000,25,10,-50,-3.6,23,-55,-6.6,18,-70,-9.6,15,12367,555004,555003,555005,2020-11-05 13:44:04.304550
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12367,555004,555003,555005,2020-11-05 13:44:04.364550
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:04.404550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:04.414550
290000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:04.454550
280000,122000,25,10,-50,-3.6,23,-55,-6.6,18,-70,-9.6,15,12367,555004,555003,555005,2020-11-05 13:44:04.464550
280000,123000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12367,555004,555003,555005,2020-11-05 13:44:04.494550
290000,122000,25,10,-48,-3.4,25,-53,-6.4,20,-68,-9.4,17,12367,555004,555003,555005,2020-11-05 13:44:04.504550
280000,122000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12367,555004,555003,555005,2020-11-05 13:44:04.674550
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12367,555004,555003,555005,2020-11-05 13:44:04.784550
280000,123000,25,10,-45,-3.1,25,-50,-6.1,20,-65,-9.1,17,12367,555004,555003,555005,2020-11-05 13:44:04.824550
280000,121000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12367,555004,555003,555005,2020-11-05 13:44:04.934550
280000,123000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12367,555004,555003,555005,2020-11-05 13:44:04.944550
270000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12367,555004,555003,555005,2020-11-05 13:44:04.994550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:05.154550
300000,125000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12367,555004,555003,555005,2020-11-05 13:44:05.174550
280000,121000,25,10,-45,-3.1,24,-50,-6.1,19,-65,-9.1,16,12367,555004,555003,555005,2020-11-05 13:44:05.244550
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12367,555004,555003,555005,2020-11-05 13:44:05.344550
280000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12367,555004,555003,555005,2020-11-05 13:44:05.394550
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:05.404550
300000,125000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12367,555004,555003,555005,2020-11-05 13:44:05.414550
290000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12367,555004,555003,555005,2020-11-05 13:44:05.454550
300000,123000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12367,555004,555003,555005,2020-11-05 13:44:05.464550
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12367,555004,555003,555005,2020-11-05 13:44:05.484550
