UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF
100000,108722,20,2,-99,-17.7,16,-104,-20.7,11,-119,-23.7,8,12434,555010,555009,555011,2020-11-05 13:44:03.054550
110000,108722,20,3,-98,-17.5,12,-103,-20.5,7,-118,-23.5,4,12434,555010,555009,555011,2020-11-05 13:44:03.064550
110000,108722,20,3,-98,-11.1,12,-103,-14.1,7,-118,-17.1,4,12434,555010,555009,555011,2020-11-05 13:44:03.084550
110000,88722,20,7,-91,-16.1,12,-96,-19.1,7,-111,-22.1,4,12434,555010,555009,555011,2020-11-05 13:44:03.094550
110000,68722,20,7,-89,-12.5,11,-94,-15.5,6,-109,-18.5,3,12434,555010,555009,555011,2020-11-05 13:44:03.114550
150000,68722,20,6,-95,-16.9,11,-100,-19.9,6,-115,-22.9,3,12434,555010,555009,555011,2020-11-05 13:44:03.124550
150000,108722,20,5,-94,-16.7,16,-99,-19.7,11,-114,-22.7,8,12434,555010,555009,555011,2020-11-05 13:44:03.144550
200000,98722,20,5,-93,-16.5,11,-98,-19.5,6,-113,-22.5,3,12434,555010,555009,555011,2020-11-05 13:44:03.154550
150000,108722,20,5,-97,-17.3,16,-102,-20.3,11,-117,-23.3,8,12434,555010,555009,555011,2020-11-05 13:44:03.164550
150000,108722,20,5,-99,-17.7,11,-104,-20.7,6,-119,-23.7,3,12434,555010,555009,555011,2020-11-05 13:44:03.174550
110000,98722,20,4,-88,-12.3,11,-93,-15.3,6,-108,-18.3,3,12434,555010,555009,555011,2020-11-05 13:44:03.184550
110000,108722,20,5,-94,-13.4,4,-99,-16.4,-1,-114,-19.4,-4,12434,555010,555009,555011,2020-11-05 13:44:03.194550
110000,108722,20,6,-89,-11.7,8,-94,-14.7,3,-109,-17.7,0,12434,555010,555009,555011,2020-11-05 13:44:03.214550
110000,78722,20,4,-99,-17.7,14,-104,-20.7,9,-119,-23.7,6,12434,555010,555009,555011,2020-11-05 13:44:03.234550
150000,108722,20,7,-94,-13.4,4,-99,-16.4,-1,-114,-19.4,-4,12434,555010,555009,555011,2020-11-05 13:44:03.244550
100000,6722,18,7,-110,-18.7,6,-115,-21.7,1,-130,-24.7,-2,12434,555010,555009,555011,2020-11-05 13:44:03.284550
100000,68722,18,6,-118,-19.5,6,-123,-22.5,1,-138,-25.5,-2,12434,555010,555009,555011,2020-11-05 13:44:03.304550
100000,108722,20,3,-94,-16.7,11,-99,-19.7,6,-114,-22.7,3,12434,555010,555009,555011,2020-11-05 13:44:03.314550
10000,38722,16,7,-110,-17.7,7,-115,-20.7,2,-130,-23.7,-1,12434,555010,555009,555011,2020-11-05 13:44:03.354550
100000,108722,20,5,-95,-16.9,14,-100,-19.9,9,-115,-22.9,6,12434,555010,555009,555011,2020-11-05 13:44:03.374550
10000,6722,16,7,-119,-19.5,3,-124,-22.5,-2,-139,-25.5,-5,12434,555010,555009,555011,2020-11-05 13:44:03.394550
100000,6722,18,7,-112,-19.5,7,-117,-22.5,2,-132,-25.5,-1,12434,555010,555009,555011,2020-11-05 13:44:03.444550
100000,68722,18,7,-110,-18.9,5,-115,-21.9,0,-130,-24.9,-3,12434,555010,555009,555011,2020-11-05 13:44:03.454550
110000,108722,20,4,-94,-16.7,12,-99,-19.7,7,-114,-22.7,4,12434,555010,555009,555011,2020-11-05 13:44:03.484550
110000,78722,20,4,-90,-12.7,16,-95,-15.7,11,-110,-18.7,8,12434,555010,555009,555011,2020-11-05 13:44:03.494550
110000,108722,20,3,-95,-10.7,9,-100,-13.7,4,-115,-16.7,1,12434,555010,555009,555011,2020-11-05 13:44:03.504550
200000,108722,20,7,-95,-11.5,10,-100,-14.5,5,-115,-17.5,2,12434,555010,555009,555011,2020-11-05 13:44:03.514550
10000,6722,16,6,-110,-18.3,2,-115,-21.3,-3,-130,-24.3,-6,12434,555010,555009,555011,2020-11-05 13:44:03.524550
110000,108722,20,7,-85,-11.7,12,-90,-14.7,7,-105,-17.7,4,12434,555010,555009,555011,2020-11-05 13:44:03.544550
10000,6722,16,7,-115,-19.7,4,-120,-22.7,-1,-135,-25.7,-4,12434,555010,555009,555011,2020-11-05 13:44:03.564550
10000,48722,16,7,-115,-17.7,2,-120,-20.7,-3,-135,-23.7,-6,12434,555010,555009,555011,2020-11-05 13:44:03.594550
110000,68722,20,7,-99,-17.7,14,-104,-20.7,9,-119,-23.7,6,12434,555010,555009,555011,2020-11-05 13:44:03.604550
100000,38722,18,6,-114,-18.3,4,-119,-21.3,-1,-134,-24.3,-4,12434,555010,555009,555011,2020-11-05 13:44:03.624550
150000,108722,20,4,-90,-13.4,4,-95,-16.4,-1,-110,-19.4,-4,12434,555010,555009,555011,2020-11-05 13:44:03.634550
110000,98722,20,2,-80,-10.7,11,-85,-13.7,6,-100,-16.7,3,12434,555010,555009,555011,2020-11-05 13:44:03.674550
150000,88722,20,2,-93,-12.7,8,-98,-15.7,3,-113,-18.7,0,12434,555010,555009,555011,2020-11-05 13:44:03.704550
110000,108722,20,4,-99,-11.1,11,-104,-14.1,6,-119,-17.1,3,12434,555010,555009,555011,2020-11-05 13:44:03.734550
