UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF,Category
290000,121000,25,10,-49,-3.5,23,-54,-6.5,18,-69,-9.5,15,12414,555008,555007,555009,2020-10-15 20:28:51.803618,Excellent Signal
290000,121000,25,10,-91,-13.2,6,-96,-16.2,1,-111,-19.2,-2,12414,555008,555007,555009,2020-10-15 20:28:51.843618,Good Signal
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12414,555008,555007,555009,2020-10-15 20:28:51.863618,Excellent Signal
300000,125000,25,10,-47,-3.3,24,-52,-6.3,19,-67,-9.3,16,12414,555008,555007,555009,2020-10-15 20:28:51.883618,Excellent Signal
280000,122000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12414,555008,555007,555009,2020-10-15 20:28:51.943618,Excellent Signal
230000,78722,20,4,-90,-15.9,15,-95,-18.9,10,-110,-21.9,7,12414,555008,555007,555009,2020-10-15 20:28:51.983618,Good Signal
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12414,555008,555007,555009,2020-10-15 20:28:51.993618,Excellent Signal
300000,123000,25,10,-49,-3.5,23,-54,-6.5,18,-69,-9.5,15,12414,555008,555007,555009,2020-10-15 20:28:52.053618,Excellent Signal
200000,108722,20,7,-91,-13.3,5,-96,-16.3,0,-111,-19.3,-3,12414,555008,555007,555009,2020-10-15 20:28:52.063618,Good Signal
300000,125000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12414,555008,555007,555009,2020-10-15 20:28:52.103618,Excellent Signal
280000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12414,555008,555007,555009,2020-10-15 20:28:52.133618,Excellent Signal
300000,125000,25,10,-49,-3.5,23,-54,-6.5,18,-69,-9.5,15,12414,555008,555007,555009,2020-10-15 20:28:52.183618,Excellent Signal
280000,123000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12414,555008,555007,555009,2020-10-15 20:28:52.313618,Excellent Signal
300000,123000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12414,555008,555007,555009,2020-10-15 20:28:52.393618,Excellent Signal
280000,123000,25,10,-50,-3.6,23,-55,-6.6,18,-70,-9.6,15,12414,555008,555007,555009,2020-10-15 20:28:52.443618,Excellent Signal
100,200,9,3,-130,-22.5,-4,-135,-25.5,-9,-150,-28.5,-12,12414,555008,555007,555009,2020-10-15 20:28:52.463618,Poor Signal
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12414,555008,555007,555009,2020-10-15 20:28:52.493618,Excellent Signal
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12414,555008,555007,555009,2020-10-15 20:28:52.613618,Excellent Signal
300000,125000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12414,555008,555007,555009,2020-10-15 20:28:52.623618,Excellent Signal
300000,123000,25,10,-47,-3.3,25,-52,-6.3,20,-67,-9.3,17,12414,555008,555007,555009,2020-10-15 20:28:52.643618,Excellent Signal
110000,108722,20,6,-90,-13.4,4,-95,-16.4,-1,-110,-19.4,-4,12414,555008,555007,555009,2020-10-15 20:28:52.683618,Good Signal
270000,122000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12414,555008,555007,555009,2020-10-15 20:28:52.693618,Excellent Signal
300000,123000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12414,555008,555007,555009,2020-10-15 20:28:52.703618,Excellent Signal
280000,122000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12414,555008,555007,555009,2020-10-15 20:28:52.723618,Excellent Signal
280000,121000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12414,555008,555007,555009,2020-10-15 20:28:52.733618,Excellent Signal
290000,123000,25,10,-90,-13.4,4,-95,-16.4,-1,-110,-19.4,-4,12414,555008,555007,555009,2020-10-15 20:28:52.803618,Good Signal
100000,58722,18,7,-113,-21.5,-3,-118,-24.5,-11,-133,-27.5,-10,12414,555008,555007,555009,2020-10-15 20:28:52.813618,Poor Signal
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12414,555008,555007,555009,2020-10-15 20:28:52.843618,Excellent Signal
9000,5000,14,6,-120,-22.9,-17,-125,-25.9,-22,-140,-28.9,-25,12414,555008,555007,555009,2020-10-15 20:28:52.853618,Poor Signal
9000,5000,14,6,-123,-21.1,-10,-128,-24.1,-15,-143,-27.1,-18,12414,555008,555007,555009,2020-10-15 20:28:52.863618,Poor Signal
300000,125000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12414,555008,555007,555009,2020-10-15 20:28:52.873618,Excellent Signal
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12414,555008,555007,555009,2020-10-15 20:28:52.893618,Excellent Signal
270000,122000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12414,555008,555007,555009,2020-10-15 20:28:52.943618,Excellent Signal
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12414,555008,555007,555009,2020-10-15 20:28:52.983618,Excellent Signal
270000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12414,555008,555007,555009,2020-10-15 20:28:53.063618,Excellent Signal
3000,3000,9,3,-128,-21.9,-11,-133,-24.9,-16,-148,-27.9,-19,12414,555008,555007,555009,2020-10-15 20:28:53.173618,Poor Signal
300000,123000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12414,555008,555007,555009,2020-10-15 20:28:53.183618,Excellent Signal
150000,88722,20,4,-89,-15.7,14,-94,-18.7,9,-109,-21.7,6,12414,555008,555007,555009,2020-10-15 20:28:53.193618,Good Signal
280000,123000,25,10,-58,-4.4,23,-63,-7.4,18,-78,-10.4,15,12414,555008,555007,555009,2020-10-15 20:28:53.213618,Excellent Signal
300000,123000,25,10,-46,-3.2,24,-51,-6.2,19,-66,-9.2,16,12414,555008,555007,555009,2020-10-15 20:28:53.253618,Excellent Signal
280000,123000,25,10,-45,-3.1,25,-50,-6.1,20,-65,-9.1,17,12414,555008,555007,555009,2020-10-15 20:28:53.263618,Excellent Signal
300000,125000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12414,555008,555007,555009,2020-10-15 20:28:53.303618,Excellent Signal
110000,88722,20,2,-90,-15.9,15,-95,-18.9,10,-110,-21.9,7,12414,555008,555007,555009,2020-10-15 20:28:53.333618,Good Signal
200000,108722,20,7,-91,-13.1,7,-96,-16.1,2,-111,-19.1,-1,12414,555008,555007,555009,2020-10-15 20:28:53.353618,Good Signal
110000,88722,20,4,-90,-15.9,16,-95,-18.9,11,-110,-21.9,8,12414,555008,555007,555009,2020-10-15 20:28:53.393618,Good Signal
150000,88722,20,7,-89,-15.7,16,-94,-18.7,11,-109,-21.7,8,12414,555008,555007,555009,2020-10-15 20:28:53.433618,Good Signal
150000,108722,20,6,-91,-13.5,3,-96,-16.5,-2,-111,-19.5,-5,12414,555008,555007,555009,2020-10-15 20:28:53.443618,Good Signal
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12414,555008,555007,555009,2020-10-15 20:28:53.463618,Excellent Signal
