UEPDCPBytesDL,UEPDCPBytesUL,UEPRBUsageDL,UEPRBUsageUL,S_RSRP,S_RSRQ,S_SINR,N1_RSRP,N1_RSRQ,N1_SINR,N2_RSRP,N2_RSRQ,N2_SINR,UEID,ServingCellID,N1,N2,MeasTimestampRF,Category
200000,108722,20,4,-91,-13.3,5,-96,-16.3,0,-111,-19.3,-3,12402,555007,555006,555008,2020-10-15 20:28:51.763618,Good Signal
280000,123000,25,10,-54,-4.0,23,-59,-7.0,18,-74,-10.0,15,12402,555007,555006,555008,2020-10-15 20:28:51.793618,Excellent Signal
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12402,555007,555006,555008,2020-10-15 20:28:51.823618,Excellent Signal
9000,6000,14,6,-124,-20.9,-9,-129,-23.9,-14,-144,-26.9,-17,12402,555007,555006,555008,2020-10-15 20:28:51.993618,Poor Signal
270000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12402,555007,555006,555008,2020-10-15 20:28:52.013618,Excellent Signal
270000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12402,555007,555006,555008,2020-10-15 20:28:52.033618,Excellent Signal
8000,5000,10,4,-123,-23.7,-20,-128,-26.7,-25,-143,-29.7,-28,12402,555007,555006,555008,2020-10-15 20:28:52.073618,Poor Signal
300000,123000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12402,555007,555006,555008,2020-10-15 20:28:52.123618,Excellent Signal
280000,121000,25,10,-50,-3.6,23,-55,-6.6,18,-70,-9.6,15,12402,555007,555006,555008,2020-10-15 20:28:52.143618,Excellent Signal
280000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12402,555007,555006,555008,2020-10-15 20:28:52.173618,Excellent Signal
300000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12402,555007,555006,555008,2020-10-15 20:28:52.183618,Excellent Signal
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12402,555007,555006,555008,2020-10-15 20:28:52.223618,Excellent Signal
290000,122000,25,10,-47,-3.3,25,-52,-6.3,20,-67,-9.3,17,12402,555007,555006,555008,2020-10-15 20:28:52.243618,Excellent Signal
280000,123000,25,10,-56,-4.2,23,-61,-7.2,18,-76,-10.2,15,12402,555007,555006,555008,2020-10-15 20:28:52.293618,Excellent Signal
280000,123000,25,10,-90,-13.2,6,-95,-16.2,1,-110,-19.2,-2,12402,555007,555006,555008,2020-10-15 20:28:52.393618,Good Signal
4000,200,9,4,-130,-22.5,-4,-135,-25.5,-6,-150,-28.5,2,12402,555007,555006,555008,2020-10-15 20:28:52.413618,Poor Signal
4000,200,9,3,-121,-24.5,-18,-126,-27.5,-23,-141,-30.5,-26,12402,555007,555006,555008,2020-10-15 20:28:52.443618,Poor Signal
290000,123000,25,10,-49,-3.5,23,-54,-6.5,18,-69,-9.5,15,12402,555007,555006,555008,2020-10-15 20:28:52.493618,Excellent Signal
8000,4000,9,4,-125,-23.5,-19,-130,-26.5,-24,-145,-29.5,-27,12402,555007,555006,555008,2020-10-15 20:28:52.543618,Poor Signal
290000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12402,555007,555006,555008,2020-10-15 20:28:52.683618,Excellent Signal
100000,88722,20,3,-90,-15.9,14,-95,-18.9,9,-110,-21.9,6,12402,555007,555006,555008,2020-10-15 20:28:52.703618,Good Signal
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12402,555007,555006,555008,2020-10-15 20:28:52.783618,Excellent Signal
280000,123000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12402,555007,555006,555008,2020-10-15 20:28:52.803618,Excellent Signal
110000,88722,20,6,-89,-15.7,14,-94,-18.7,9,-109,-21.7,6,12402,555007,555006,555008,2020-10-15 20:28:52.813618,Good Signal
280000,123000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12402,555007,555006,555008,2020-10-15 20:28:52.893618,Excellent Signal
270000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12402,555007,555006,555008,2020-10-15 20:28:52.903618,Excellent Signal
280000,123000,25,10,-45,-3.1,24,-50,-6.1,19,-65,-9.1,16,12402,555007,555006,555008,2020-10-15 20:28:52.913618,Excellent Signal
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12402,555007,555006,555008,2020-10-15 20:28:52.923618,Excellent Signal
300000,125000,25,10,-44,-3.0,25,-49,-6.0,20,-64,-9.0,17,12402,555007,555006,555008,2020-10-15 20:28:52.933618,Excellent Signal
300000,123000,25,10,-47,-3.3,25,-52,-6.3,20,-67,-9.3,17,12402,555007,555006,555008,2020-10-15 20:28:52.983618,Excellent Signal
300000,123000,25,10,-44,-3.0,24,-49,-6.0,19,-64,-9.0,16,12402,555007,555006,555008,2020-10-15 20:28:52.993618,Excellent Signal
100000,98722,20,4,-90,-15.9,16,-95,-18.9,11,-110,-21.9,8,12402,555007,555006,555008,2020-10-15 20:28:53.073618,Good Signal
280000,123000,25,10,-89,-13.1,7,-94,-16.1,2,-109,-19.1,-1,12402,555007,555006,555008,2020-10-15 20:28:53.083618,Good Signal
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12402,555007,555006,555008,2020-10-15 20:28:53.093618,Excellent Signal
280000,122000,25,10,-58,-4.4,23,-63,-7.4,18,-78,-10.4,15,12402,555007,555006,555008,2020-10-15 20:28:53.133618,Excellent Signal
280000,123000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12402,555007,555006,555008,2020-10-15 20:28:53.143618,Excellent Signal
280000,122000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12402,555007,555006,555008,2020-10-15 20:28:53.163618,Excellent Signal
300000,123000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12402,555007,555006,555008,2020-10-15 20:28:53.193618,Excellent Signal
280000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12402,555007,555006,555008,2020-10-15 20:28:53.213618,Excellent Signal
150000,88722,20,6,-89,-15.7,16,-94,-18.7,11,-109,-21.7,8,12402,555007,555006,555008,2020-10-15 20:28:53.293618,Good Signal
270000,123000,25,10,-51,-3.7,23,-56,-6.7,18,-71,-9.7,15,12402,555007,555006,555008,2020-10-15 20:28:53.313618,Excellent Signal
100000,38722,18,7,-113,-20.7,-6,-118,-23.7,-10,-133,-26.7,-15,12402,555007,555006,555008,2020-10-15 20:28:53.333618,Poor Signal
280000,121000,25,10,-45,-3.1,25,-50,-6.1,20,-65,-9.1,17,12402,555007,555006,555008,2020-10-15 20:28:53.353618,Excellent Signal
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12402,555007,555006,555008,2020-10-15 20:28:53.403618,Excellent Signal
280000,121000,25,10,-45,-3.1,25,-50,-6.1,20,-65,-9.1,17,12402,555007,555006,555008,2020-10-15 20:28:53.613618,Excellent Signal
300000,125000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12402,555007,555006,555008,2020-10-15 20:28:53.633618,Excellent Signal
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12402,555007,555006,555008,2020-10-15 20:28:53.643618,Excellent Signal
280000,123000,25,10,-59,-4.5,23,-64,-7.5,18,-79,-10.5,15,12402,555007,555006,555008,2020-10-15 20:28:53.663618,Excellent Signal
10000,6000,15,6,-122,-22.5,-7,-127,-25.5,-7,-142,-28.5,1,12402,555007,555006,555008,2020-10-15 20:28:53.693618,Poor Signal
230000,108722,20,3,-90,-15.9,16,-95,-18.9,11,-110,-21.9,8,12402,555007,555006,555008,2020-10-15 20:28:53.753618,Good Signal
150000,108722,20,6,-89,-13.2,6,-94,-16.2,1,-109,-19.2,-2,12402,555007,555006,555008,2020-10-15 20:28:53.763618,Good Signal
280000,123000,25,10,-89,-13.4,4,-94,-16.4,-1,-109,-19.4,-4,12402,555007,555006,555008,2020-10-15 20:28:53.813618,Good Signal
230000,108722,20,10,-91,-13.4,4,-96,-16.4,-1,-111,-19.4,-4,12402,555007,555006,555008,2020-10-15 20:28:53.843618,Good Signal
3000,1000,10,4,-127,-21.9,-11,-132,-24.9,-16,-147,-27.9,-19,12402,555007,555006,555008,2020-10-15 20:28:53.863618,Poor Signal
280000,123000,25,10,-52,-3.8,23,-57,-6.8,18,-72,-9.8,15,12402,555007,555006,555008,2020-10-15 20:28:53.913618,Excellent Signal
280000,123000,25,10,-57,-4.3,23,-62,-7.3,18,-77,-10.3,15,12402,555007,555006,555008,2020-10-15 20:28:53.923618,Excellent Signal
280000,121000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12402,555007,555006,555008,2020-10-15 20:28:53.963618,Excellent Signal
280000,123000,25,10,-53,-3.9,23,-58,-6.9,18,-73,-9.9,15,12402,555007,555006,555008,2020-10-15 20:28:53.983618,Excellent Signal
280000,121000,25,10,-55,-4.1,23,-60,-7.1,18,-75,-10.1,15,12402,555007,555006,555008,2020-10-15 20:28:53.993618,Excellent Signal
300000,123000,25,10,-46,-3.2,25,-51,-6.2,20,-66,-9.2,17,12402,555007,555006,555008,2020-10-15 20:28:54.003618,Excellent Signal
